Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186
Denmark,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179
Switzerland,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292
Iceland,7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673
Netherlands,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338
Norway,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27
Sweden,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237
Luxembourg,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386
New Zealand,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242
Austria,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481
Australia,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442
Israel,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753
Germany,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46
Canada,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415
Ireland,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363
Costa Rica,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809
United Kingdom,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459
Czech Republic,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868
United States,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698
Belgium,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646
France,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571
Bahrain,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722
Malta,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653
Taiwan,6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721
United Arab Emirates,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589
Saudi Arabia,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684
Spain,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745
Italy,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866
Slovenia,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806
Guatemala,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775
Uruguay,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59
Singapore,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082
Kosovo,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917
Slovakia,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911
Brazil,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756
Mexico,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799
Jamaica,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884
Lithuania,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826
Cyprus,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844
Estonia,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527
Panama,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856
Uzbekistan,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515
Chile,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83
Poland,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735
